Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Myles Lewis-Skelly,Arsenal,DF,0,0.23233902274560983,0.0,Arsenal.png
Eberechi Eze,Arsenal,"MF,FW",0,0.22757836525821942,0.0,Arsenal.png
Iñaki Williams,Athletic Club,FW,0,0.17931627872199338,0.0,Athletic Club.png
Raoul Bellanova,Atalanta,"DF,MF",0,0.17407443585591897,0.0,Atalanta.png
Maroan Sannadi,Athletic Club,FW,0,0.6821414677746276,0.0,Athletic Club.png
Ibon Sánchez,Athletic Club,FW,0,0.04427858441842389,0.0,Athletic Club.png
Selton Sánchez,Athletic Club,MF,0,0.08523516528245062,0.0,Athletic Club.png
Iñigo Lekue,Athletic Club,DF,0,0.36401339400727856,0.0,Athletic Club.png
Aymeric Laporte,Athletic Club,DF,0,0.5106660322196668,0.0,Athletic Club.png
Asier Hierro,Athletic Club,"FW,MF",0,0.039752312713440104,0.0,Athletic Club.png
Nico Williams,Athletic Club,FW,0,0.21906531170073132,0.0,Athletic Club.png
Nicolás Serrano,Athletic Club,"FW,MF",0,0.03535651295017734,0.0,Athletic Club.png
David Raya,Arsenal,GK,0,0.3477050609042594,0.0,Arsenal.png
Yuri Berchiche,Athletic Club,DF,0,0.3400216651898708,0.0,Athletic Club.png
Mikel Vesga,Athletic Club,MF,0,0.20154804200691873,0.0,Athletic Club.png
Oihan Sancet,Athletic Club,MF,0,0.37788711300544336,0.0,Athletic Club.png
Adama Boiro,Athletic Club,DF,0,0.1671851950130576,0.0,Athletic Club.png
Jesús Areso,Athletic Club,DF,0,0.23992931146209212,0.0,Athletic Club.png
Daniel Vivian,Athletic Club,DF,0,0.19360189820029694,0.0,Athletic Club.png
Aitor Paredes,Athletic Club,DF,0,0.230804907223032,0.0,Athletic Club.png
Roberto Navarro,Athletic Club,"FW,MF",1,1.463329175267112,0.0,Athletic Club.png
Marco Carnesecchi,Atalanta,GK,0,0.31570467431476396,0.0,Atalanta.png
Berat Djimsiti,Atalanta,DF,0,0.28394575376842024,0.0,Atalanta.png
Odilon Kossounou,Atalanta,DF,0,0.31973698989665755,0.0,Atalanta.png
Nikola Krstović,Atalanta,FW,0,0.45260287647455966,0.0,Atalanta.png
Giorgio Scalvini,Atalanta,DF,0,0.05914441481836384,0.0,Atalanta.png
Daniel Maldini,Atalanta,FW,0,0.6130418277521421,0.0,Atalanta.png
Nicola Zalewski,Atalanta,"MF,DF",0,0.15808309982753724,0.0,Atalanta.png
Sead Kolašinac,Atalanta,DF,0,0.8484569817431568,0.0,Atalanta.png
Marco Brescianini,Atalanta,"MF,FW",0,0.049965138915318556,0.0,Atalanta.png
Kamaldeen Sulemana,Atalanta,"FW,MF",0,0.08273764856317771,0.0,Atalanta.png
Gianluca Scamacca,Atalanta,FW,1,1.7759597812116361,0.0,Atalanta.png
Lazar Samardzic,Atalanta,"FW,MF",2,2.721934520931707,0.0,Atalanta.png
Mario Pašalić,Atalanta,MF,1,2.08910011755658,0.0,Atalanta.png
Isak Hien,Atalanta,DF,0,0.4088173795667468,0.0,Atalanta.png
Lorenzo Bernasconi,Atalanta,"DF,MF",0,0.4849829176491305,0.0,Atalanta.png
Honest Ahanor,Atalanta,DF,0,0.22094081995007706,0.0,Atalanta.png
Davide Zappacosta,Atalanta,"DF,MF",0,0.2529878090335657,0.0,Atalanta.png
Yunus Musah,Atalanta,MF,0,0.3890115951584026,0.0,Atalanta.png
Ademola Lookman,Atalanta,"FW,MF",1,1.8315919392174551,0.0,Atalanta.png
Éderson,Atalanta,MF,1,2.273293476149542,0.0,Atalanta.png
Marten de Roon,Atalanta,MF,0,0.18035522091092693,0.0,Atalanta.png
Ole Didrik Blomberg,Bodø/Glimt,"FW,MF",1,1.0,0.0,Bodø/Glimt.png
Jens Petter Hauge,Bodø/Glimt,"FW,MF",3,3.0,0.0,Bodø/Glimt.png
Malik Tillman,Leverkusen,MF,0,0.33852917136578653,0.0,Leverkusen.png
Lucas Torreira,Galatasaray,MF,0,0.16038599789587238,0.0,Galatasaray.png
Berkan Kutlu,Galatasaray,MF,0,0.012494946226800613,0.0,Galatasaray.png
Wilfried Singo,Galatasaray,DF,0,0.5684787574982741,0.0,Galatasaray.png
Kaan Ayhan,Galatasaray,"MF,FW",0,0.7857048567344911,0.0,Galatasaray.png
Mario Lemina,Galatasaray,MF,0,0.4179875623337943,0.0,Galatasaray.png
İlkay Gündoğan,Galatasaray,MF,0,0.5630671705379762,0.0,Galatasaray.png
Eren Elmalı,Galatasaray,"DF,MF",0,0.047809878455307625,0.0,Galatasaray.png
Leroy Sané,Galatasaray,"FW,MF",0,0.2875398199919725,0.0,Galatasaray.png
Abdülkerim Bardakcı,Galatasaray,DF,0,0.27777270015339134,0.0,Galatasaray.png
Gabriel Sara,Galatasaray,MF,0,0.15419733276302378,0.0,Galatasaray.png
Ahmed Kutucu,Galatasaray,"FW,MF",0,0.1270967940970033,0.0,Galatasaray.png
Davinson Sánchez,Galatasaray,DF,0,0.24529655899998618,0.0,Galatasaray.png
Roland Sallai,Galatasaray,"DF,FW",0,0.15127854740610325,0.0,Galatasaray.png
Ismail Jakobs,Galatasaray,DF,0,0.24288179583722927,0.0,Galatasaray.png
Mauro Icardi,Galatasaray,FW,0,0.6673947249525543,0.0,Galatasaray.png
Uğurcan Çakır,Galatasaray,GK,0,0.26766158881375435,0.0,Galatasaray.png
Barış Alper Yılmaz,Galatasaray,"FW,MF",0,0.3806788661102782,0.0,Galatasaray.png
Matteo Darmian,Inter,DF,0,0.08744547338879008,0.0,Inter.png
Henrikh Mkhitaryan,Inter,MF,0,0.7507272393389687,0.0,Inter.png
Günay Güvenç,Galatasaray,GK,0,0.12208904019247202,0.0,Galatasaray.png
Arda Ünyay,Galatasaray,DF,0,0.18539807579287632,0.0,Galatasaray.png
Stefan de Vrij,Inter,DF,0,0.5860795129567595,0.0,Inter.png
Youssoufa Moukoko,FC Copenhagen,FW,0,0.2681697402533912,0.0,FC Copenhagen.png
Rodrigo Huescas,FC Copenhagen,DF,0,0.4074766111447537,0.0,FC Copenhagen.png
Andreas Cornelius,FC Copenhagen,FW,1,1.2004281610565264,0.0,FC Copenhagen.png
Munashe Garan'anga,FC Copenhagen,DF,0,0.03739156156187564,0.0,FC Copenhagen.png
Thomas Delaney,FC Copenhagen,MF,0,0.2935160645237768,0.0,FC Copenhagen.png
William Clem,FC Copenhagen,MF,0,0.18588393578900028,0.0,FC Copenhagen.png
Yoram Zague,FC Copenhagen,DF,0,0.0842573112568309,0.0,FC Copenhagen.png
Junnosuke Suzuki,FC Copenhagen,DF,0,0.15456363608512305,0.0,FC Copenhagen.png
Robert,FC Copenhagen,MF,2,2.6324216869077297,0.0,FC Copenhagen.png
Lukas Lerager,FC Copenhagen,MF,0,0.2172776236534891,0.0,FC Copenhagen.png
Viktor Claesson,FC Copenhagen,"FW,MF",0,0.1445509203613312,0.0,FC Copenhagen.png
Pantelis Hatzidiakos,FC Copenhagen,DF,0,0.23242717581811673,0.0,FC Copenhagen.png
Mads Emil Madsen,FC Copenhagen,MF,0,0.031184863255207092,0.0,FC Copenhagen.png
Mohamed Elyounoussi,FC Copenhagen,"FW,MF",1,1.7153927599333716,0.0,FC Copenhagen.png
Elias Achouri,FC Copenhagen,MF,1,1.4430928175816697,0.0,FC Copenhagen.png
Gabriel Pereira,FC Copenhagen,DF,0,0.12633753244100082,0.0,FC Copenhagen.png
Marcos López,FC Copenhagen,DF,0,0.09307864177606871,0.0,FC Copenhagen.png
Jordan Larsson,FC Copenhagen,MF,2,2.8327101512593718,0.0,FC Copenhagen.png
Dominik Kotarski,FC Copenhagen,GK,0,0.1663501234704429,0.0,FC Copenhagen.png
Francesco Acerbi,Inter,DF,0,0.7892129825224351,0.0,Inter.png
Luis Henrique,Inter,DF,0,0.21866467876150447,0.0,Inter.png
Andreas Helmersen,Bodø/Glimt,FW,1,1.0,0.0,Bodø/Glimt.png
Andrea Cambiaso,Juventus,DF,0,0.22470279329803766,0.0,Juventus.png
Lloyd Kelly,Juventus,DF,1,2.2255688341120905,0.0,Juventus.png
Francisco Conceição,Juventus,MF,1,1.9370089763449578,0.0,Juventus.png
Vasilije Adžić,Juventus,MF,0,0.04221118899157131,0.0,Juventus.png
Kenan Yıldız,Juventus,MF,1,1.7657420025414814,0.0,Juventus.png
Don-Angelo Konadu,Ajax,FW,0,0.08637064683079015,0.0,Ajax.png
Manuel Locatelli,Juventus,MF,0,0.18972179792244057,0.0,Juventus.png
Teun Koopmeiners,Juventus,"DF,MF",0,0.19246470187875644,0.0,Juventus.png
Pierre Kalulu,Juventus,DF,0,0.17932479618838984,0.0,Juventus.png
Lucas Vázquez,Leverkusen,DF,0,1.0972127311328568,0.0,Leverkusen.png
Michele Di Gregorio,Juventus,GK,0,0.5126693242461196,0.0,Juventus.png
Axel Tapé,Leverkusen,DF,0,0.555379283659841,0.0,Leverkusen.png
Jeremiah Mensah,Leverkusen,MF,0,0.03440962808970731,0.0,Leverkusen.png
Nathan Tella,Leverkusen,MF,0,0.041875604380111724,0.0,Leverkusen.png
Jeanuël Belocian,Leverkusen,DF,0,0.6609390889261169,0.0,Leverkusen.png
Ezequiél Fernández,Leverkusen,MF,0,0.5757538060089095,0.0,Leverkusen.png
Robert Andrich,Leverkusen,"DF,MF",0,0.328771569572453,0.0,Leverkusen.png
Eliesse Ben Seghir,Leverkusen,"MF,FW",0,0.06515375248009515,0.0,Leverkusen.png
Arthur,Leverkusen,DF,0,0.47774718995116267,0.0,Leverkusen.png
Khéphren Thuram,Juventus,MF,0,0.20395842813932533,0.0,Juventus.png
Edon Zhegrova,Juventus,MF,0,0.3053522937923728,0.0,Juventus.png
Davide Frattesi,Inter,MF,0,0.30774006048071606,0.0,Inter.png
Hakan Çalhanoğlu,Inter,MF,1,2.1443060486142276,0.0,Inter.png
Alessandro Bastoni,Inter,DF,0,0.21939786181425175,0.0,Inter.png
Nicolò Barella,Inter,MF,0,0.2953826737500261,0.0,Inter.png
Yann Aurel Bisseck,Inter,DF,0,0.256540601286645,0.0,Inter.png
Carlos Augusto,Inter,DF,1,1.5700440489107126,0.0,Inter.png
Piotr Zieliński,Inter,MF,1,2.1665741044339284,0.0,Inter.png
Petar Sucic,Inter,MF,0,0.16718315674922873,0.0,Inter.png
Yann Sommer,Inter,GK,0,0.31436514787413816,0.0,Inter.png
Federico Dimarco,Inter,DF,0,0.43345018745893954,0.0,Inter.png
Ange-Yoan Bonny,Inter,FW,0,0.0671468942849979,0.0,Inter.png
Juan David Cabal,Juventus,DF,0,0.141433757252478,0.0,Juventus.png
Manuel Akanji,Inter,DF,0,0.3388184011672711,0.0,Inter.png
Gleison Bremer,Juventus,DF,0,0.917848084134429,0.0,Juventus.png
Daniele Rugani,Juventus,DF,0,0.5530369865431445,0.0,Juventus.png
Mattia Perin,Juventus,GK,0,0.7800956259010098,0.0,Juventus.png
João Mário Lopes,Juventus,DF,0,0.6845917363078746,0.0,Juventus.png
Filip Kostić,Juventus,DF,0,0.4054323178528324,0.0,Juventus.png
Fabio Miretti,Juventus,MF,0,0.33956414425985976,0.0,Juventus.png
Federico Gatti,Juventus,DF,1,2.153047124078005,0.0,Juventus.png
Birger Meling,FC Copenhagen,DF,0,0.3325368857623026,0.0,FC Copenhagen.png
Nathaniel Brown,Eint Frankfurt,"DF,MF",0,0.07663994423450987,0.0,Eint Frankfurt.png
Fares Chaïbi,Eint Frankfurt,"MF,FW",0,0.1060432991994079,0.0,Eint Frankfurt.png
Jorne Spileers,Club Brugge,DF,0,0.06045540029672225,0.0,Club Brugge.png
Enzo Fernández,Chelsea,MF,1,1.6123968232120722,0.0,Chelsea.png
Moisés Caicedo,Chelsea,MF,1,1.6233741784735973,0.0,Chelsea.png
Simon Mignolet,Club Brugge,GK,0,0.9365257424389191,0.0,Club Brugge.png
Kaye Furo,Club Brugge,FW,0,0.058145793753392225,0.0,Club Brugge.png
Dani van den Heuvel,Club Brugge,GK,0,0.7989137966111596,0.0,Club Brugge.png
Shandre Campbell,Club Brugge,DF,0,0.012951786942579592,0.0,Club Brugge.png
Cisse Sandra,Club Brugge,MF,0,0.4152589507630794,0.0,Club Brugge.png
Zaid Romero,Club Brugge,DF,0,0.023901449120365417,0.0,Club Brugge.png
Hugo Siquet,Club Brugge,DF,0,0.3494303252214881,0.0,Club Brugge.png
Marc Cucurella,Chelsea,DF,0,0.4104007534980843,0.0,Chelsea.png
Lynnt Audoor,Club Brugge,MF,0,0.1764336473094718,0.0,Club Brugge.png
Hugo Vetlesen,Club Brugge,"MF,FW",0,0.032003637969165354,0.0,Club Brugge.png
Romeo Vermant,Club Brugge,FW,0,0.04970994913371593,0.0,Club Brugge.png
Raphael Onyedika,Club Brugge,MF,1,1.7169801739021446,0.0,Club Brugge.png
Bjorn Meijer,Club Brugge,DF,0,0.121831148738935,0.0,Club Brugge.png
Joaquin Seys,Club Brugge,DF,0,0.14395816999460315,0.0,Club Brugge.png
Kyriani Sabbe,Club Brugge,DF,0,0.11392054693989997,0.0,Club Brugge.png
Nordin Jackers,Club Brugge,GK,0,0.2219906469976679,0.0,Club Brugge.png
Trevoh Chalobah,Chelsea,DF,0,0.3545073175440892,0.0,Chelsea.png
Alejandro Garnacho,Chelsea,FW,1,1.762259423494033,0.0,Chelsea.png
Ansgar Knauff,Eint Frankfurt,FW,2,2.4987952051630313,0.0,Eint Frankfurt.png
Facundo Buonanotte,Chelsea,MF,0,0.3273426100209119,0.0,Chelsea.png
Sondre Brunstad Fet,Bodø/Glimt,MF,2,2.0,0.0,Bodø/Glimt.png
Reggie Walsh,Chelsea,MF,0,0.1432461455550835,0.0,Chelsea.png
Filip Jørgensen,Chelsea,GK,0,1.1181969525473354,0.0,Chelsea.png
Roméo Lavia,Chelsea,MF,0,0.42215893235549884,0.0,Chelsea.png
Jorrel Hato,Chelsea,DF,0,0.8588750692749806,0.0,Chelsea.png
Liam Delap,Chelsea,FW,1,1.4134625254634565,0.0,Chelsea.png
Benoît Badiashile,Chelsea,DF,0,0.8253906611161119,0.0,Chelsea.png
Wesley Fofana,Chelsea,DF,0,0.36927278680431475,0.0,Chelsea.png
Andrey Santos,Chelsea,MF,0,0.0853827983996896,0.0,Chelsea.png
Jamie Gittens,Chelsea,FW,0,0.21315895209187571,0.0,Chelsea.png
Pedro Neto,Chelsea,FW,0,0.6625079094761218,0.0,Chelsea.png
João Pedro,Chelsea,"FW,MF",1,2.27770860892137,0.0,Chelsea.png
Malo Gusto,Chelsea,"DF,MF",0,0.2445128788103297,0.0,Chelsea.png
Tyrique George,Chelsea,FW,1,1.7287002319595282,0.0,Chelsea.png
Tosin Adarabioyo,Chelsea,DF,0,0.4152183406688306,0.0,Chelsea.png
Joshua Acheampong,Chelsea,DF,0,0.12137537943809981,0.0,Chelsea.png
Robert Sánchez,Chelsea,GK,0,0.4104007534980843,0.0,Chelsea.png
Reece James,Chelsea,"MF,DF",0,0.324880491376964,0.0,Chelsea.png
Mamadou Diakhon,Club Brugge,"FW,MF",1,1.065259562229943,0.0,Club Brugge.png
Hans Vanaken,Club Brugge,MF,1,1.9197956854934806,0.0,Club Brugge.png
Christos Tzolis,Club Brugge,"FW,MF",1,1.3412017144317947,0.0,Club Brugge.png
Michael Zetterer,Eint Frankfurt,GK,0,0.20457387328753024,0.0,Eint Frankfurt.png
Oscar Højlund,Eint Frankfurt,MF,0,0.1263310313860341,0.0,Eint Frankfurt.png
Aurélio Buta,Eint Frankfurt,DF,0,0.0521767830121055,0.0,Eint Frankfurt.png
Michy Batshuayi,Eint Frankfurt,"MF,FW",0,0.48642433442502153,0.0,Eint Frankfurt.png
Elye Wahi,Eint Frankfurt,FW,0,0.23095053955897826,0.0,Eint Frankfurt.png
Rasmus Kristensen,Eint Frankfurt,"DF,MF",1,1.7591006867519092,0.0,Eint Frankfurt.png
Mahmoud Dahoud,Eint Frankfurt,MF,0,0.3598129408516641,0.0,Eint Frankfurt.png
Can Uzun,Eint Frankfurt,"MF,FW",1,1.4251662697256593,0.0,Eint Frankfurt.png
Aurele Amenda,Eint Frankfurt,DF,0,0.06270750248498311,0.0,Eint Frankfurt.png
Hugo Larsson,Eint Frankfurt,MF,0,0.17950041328620275,0.0,Eint Frankfurt.png
Aleksandar Stanković,Club Brugge,MF,0,0.15601790706670735,0.0,Club Brugge.png
Mario Götze,Eint Frankfurt,MF,0,0.13080742231648712,0.0,Eint Frankfurt.png
Ritsu Doan,Eint Frankfurt,"FW,DF",0,0.14616545015335353,0.0,Eint Frankfurt.png
Nnamdi Collins,Eint Frankfurt,DF,0,0.18277182677116047,0.0,Eint Frankfurt.png
Jonathan Burkardt,Eint Frankfurt,FW,2,2.652622447019301,0.0,Eint Frankfurt.png
Arthur Theate,Eint Frankfurt,DF,0,0.10183730091792291,0.0,Eint Frankfurt.png
Ellyes Skhiri,Eint Frankfurt,MF,0,0.046279108891968505,0.0,Eint Frankfurt.png
Jean Mattéo Bahoya,Eint Frankfurt,"FW,DF",0,0.06045366408142486,0.0,Eint Frankfurt.png
Robin Koch,Eint Frankfurt,DF,0,0.08910992964247966,0.0,Eint Frankfurt.png
Jessic Ngankam,Eint Frankfurt,FW,0,0.008246847066207262,0.0,Eint Frankfurt.png
Kauã Santos,Eint Frankfurt,GK,0,0.76115032361066,0.0,Eint Frankfurt.png
Waldemar Anton,Dortmund,DF,1,1.6049520506011947,0.0,Dortmund.png
Jobe Bellingham,Dortmund,MF,0,0.13987828354822293,0.0,Dortmund.png
Joel Ordóñez,Club Brugge,DF,0,0.10175247657516806,0.0,Club Brugge.png
Brandon Mechele,Club Brugge,DF,0,0.08576385046075742,0.0,Club Brugge.png
Carlos Forbs,Club Brugge,"FW,MF",2,2.641564749135206,0.0,Club Brugge.png
Niklas Süle,Dortmund,DF,0,0.5701362483448402,0.0,Dortmund.png
Pascal Groß,Dortmund,MF,0,0.5967975623185617,0.0,Dortmund.png
Emre Can,Dortmund,DF,0,1.2511047505627606,0.0,Dortmund.png
Aaron Anselmino,Dortmund,DF,0,0.470717039678584,0.0,Dortmund.png
Yan Couto,Dortmund,DF,1,1.8574151108413224,0.0,Dortmund.png
Carney Chukwuemeka,Dortmund,MF,1,1.2599234537715467,0.0,Dortmund.png
Fábio Silva,Dortmund,"FW,MF",1,1.2064063147593242,0.0,Dortmund.png
Nico Schlotterbeck,Dortmund,DF,0,0.3924898336692096,0.0,Dortmund.png
Marcel Sabitzer,Dortmund,MF,0,0.20616632813826502,0.0,Dortmund.png
Julian Ryerson,Dortmund,DF,0,0.23975124558369826,0.0,Dortmund.png
Ramy Bensebaini,Dortmund,DF,2,2.802089139214932,0.0,Dortmund.png
Maximilian Beier,Dortmund,MF,0,0.48074224397748405,0.0,Dortmund.png
Daniel Svensson,Dortmund,DF,2,3.0374615209650617,0.0,Dortmund.png
Gregor Kobel,Dortmund,GK,0,0.31029372873456335,0.0,Dortmund.png
Santi Comesaña,Villarreal,MF,1,1.0,0.0,Villarreal.png
Ulrik Saltnes,Bodø/Glimt,MF,0,0.0,,Bodø/Glimt.png
Magnus Riisnæs,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Brede Moe,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Anders Klynge,Bodø/Glimt,"MF,DF",0,0.0,,Bodø/Glimt.png
Mathias Jørgensen,Bodø/Glimt,"FW,MF",0,0.0,,Bodø/Glimt.png
Jostein Gundersen,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Villads Nielsen,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Isak Määttä,Bodø/Glimt,"DF,FW",0,0.0,,Bodø/Glimt.png
Fredrik André Bjørkan,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Sondre Auklend,Bodø/Glimt,"FW,MF",0,0.0,,Bodø/Glimt.png
Kasper Waarst Høgh,Bodø/Glimt,FW,0,0.0,,Bodø/Glimt.png
Fredrik Sjøvold,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Odin Lurås Bjørtuft,Bodø/Glimt,DF,0,0.0,,Bodø/Glimt.png
Nikita Haikin,Bodø/Glimt,GK,0,0.0,,Bodø/Glimt.png
Håkon Evjen,Bodø/Glimt,MF,0,0.0,,Bodø/Glimt.png
Patrick Berg,Bodø/Glimt,MF,0,0.0,,Bodø/Glimt.png
Lev Kurgin,Qaırat Almaty,DF,0,0.0,,
Azamat Tuyakbaev,Qaırat Almaty,"FW,MF",0,0.0,,
Sherhan Kalmurza,Qaırat Almaty,GK,0,0.0,,
Aleksandr Shirobokov,Qaırat Almaty,DF,0,0.0,,
Adilet Sadybekov,Qaırat Almaty,MF,0,0.0,,
Alyaksandr Martynovich,Qaırat Almaty,DF,0,0.0,,
Dan Glazer,Qaırat Almaty,MF,0,0.0,,
Jug Stanojev,Qaırat Almaty,"MF,FW",0,0.0,,
Temirlan Anarbekov,Qaırat Almaty,GK,0,0.0,,
Giorgi Zaria,Qaırat Almaty,"MF,FW",0,0.0,,
Luís Mata,Qaırat Almaty,DF,0,0.0,,
Erkin Tapalov,Qaırat Almaty,DF,0,0.0,,
Yegor Sorokin,Qaırat Almaty,DF,0,0.0,,
Ricardinho,Qaırat Almaty,"FW,MF",0,0.0,,
Alexandr Mrynskiy,Qaırat Almaty,"DF,FW",0,0.0,,
Damir Kasabulat,Qaırat Almaty,MF,0,0.0,,
Valeriy Gromyko,Qaırat Almaty,"FW,MF",0,0.0,,
Jorginho Costa,Qaırat Almaty,"MF,FW",0,0.0,,
Louis Patris,Unions SG,DF,0,0.0,,
Raul Florucz,Unions SG,FW,0,0.0,,
Sofiane Boufal,Unions SG,"MF,FW",0,0.0,,
Rob Schoofs,Unions SG,MF,0,0.0,,
Mathias Rasmussen,Unions SG,MF,0,0.0,,
Fedde Leysen,Unions SG,DF,0,0.0,,
Marc Giger,Unions SG,"FW,MF",0,0.0,,
Adem Zorgane,Unions SG,MF,0,0.0,,
Kjell Scherpen,Unions SG,GK,0,0.0,,
Kevin Rodríguez,Unions SG,FW,0,0.0,,
Ousseynou Niang,Unions SG,"DF,FW",0,0.0,,
Kamiel Van De Perre,Unions SG,MF,0,0.0,,
Christian Burgess,Unions SG,DF,0,0.0,,
Arnau Tenas,Villarreal,GK,0,0.0,,Villarreal.png
Gerard Moreno,Villarreal,FW,0,0.0,,Villarreal.png
Manor Solomon,Villarreal,MF,0,0.0,,Villarreal.png
Pau Navarro,Villarreal,DF,0,0.0,,Villarreal.png
Thomas Partey,Villarreal,MF,0,0.0,,Villarreal.png
Rafa Marín,Villarreal,DF,0,0.0,,Villarreal.png
Ayoze Pérez,Villarreal,FW,0,0.0,,Villarreal.png
Juan Foyth,Villarreal,DF,0,0.0,,Villarreal.png
Ilias Akhomach,Villarreal,MF,0,0.0,,Villarreal.png
Alfonso Pedraza,Villarreal,DF,0,0.0,,Villarreal.png
Daniel Parejo,Villarreal,MF,0,0.0,,Villarreal.png
Santiago Mouriño,Villarreal,DF,0,0.0,,Villarreal.png
Luiz Lúcio Reis Júnior,Villarreal,GK,0,0.0,,Villarreal.png
Tajon Buchanan,Villarreal,"MF,FW",0,0.0,,Villarreal.png
Nicolas Pépé,Villarreal,"FW,MF",0,0.0,,Villarreal.png
Alberto Moleiro,Villarreal,MF,0,0.0,,Villarreal.png
Pape Gueye,Villarreal,MF,0,0.0,,Villarreal.png
Sergi Cardona,Villarreal,DF,0,0.0,,Villarreal.png
